ru.dksu.semantic.TestStructure,4194304,1,33:33:,138.90717
ru.dksu.semantic.TestStructureRW,4194304,1,33:33:,137.33238
ru.dksu.semantic.TestStructureRWSL,4194304,1,33:33:,144.52998
ru.dksu.semantic.TestStructure,4194304,2,33:33:,163.66728
ru.dksu.semantic.TestStructureRW,4194304,2,33:33:,77.36511
ru.dksu.semantic.TestStructureRWSL,4194304,2,33:33:,147.25117
ru.dksu.semantic.TestStructure,4194304,4,33:33:,135.13001
ru.dksu.semantic.TestStructureRW,4194304,4,33:33:,66.37988
ru.dksu.semantic.TestStructureRWSL,4194304,4,33:33:,130.15680
ru.dksu.semantic.TestStructure,4194304,8,33:33:,123.57282
ru.dksu.semantic.TestStructureRW,4194304,8,33:33:,67.85156
ru.dksu.semantic.TestStructureRWSL,4194304,8,33:33:,121.32114
ru.dksu.semantic.TestStructure,4194304,16,33:33:,127.85900
ru.dksu.semantic.TestStructureRW,4194304,16,33:33:,68.27842
ru.dksu.semantic.TestStructureRWSL,4194304,16,33:33:,108.83883
ru.dksu.semantic.TestStructure,4194304,32,33:33:,113.50022
ru.dksu.semantic.TestStructureRW,4194304,32,33:33:,65.59474
ru.dksu.semantic.TestStructureRWSL,4194304,32,33:33:,103.45385
ru.dksu.semantic.TestStructure,4194304,48,33:33:,106.00145
ru.dksu.semantic.TestStructureRW,4194304,48,33:33:,64.52021
ru.dksu.semantic.TestStructureRWSL,4194304,48,33:33:,96.52087
ru.dksu.semantic.TestStructure,4194304,63,33:33:,96.39313
ru.dksu.semantic.TestStructureRW,4194304,63,33:33:,64.55780
ru.dksu.semantic.TestStructureRWSL,4194304,63,33:33:,93.39800
ru.dksu.semantic.TestStructure,4194304,1,0:0:,437.56426
ru.dksu.semantic.TestStructureRW,4194304,1,0:0:,431.30196
ru.dksu.semantic.TestStructureRWSL,4194304,1,0:0:,440.80104
ru.dksu.semantic.TestStructure,4194304,2,0:0:,826.87082
ru.dksu.semantic.TestStructureRW,4194304,2,0:0:,825.61312
ru.dksu.semantic.TestStructureRWSL,4194304,2,0:0:,829.88158
ru.dksu.semantic.TestStructure,4194304,4,0:0:,1185.48889
ru.dksu.semantic.TestStructureRW,4194304,4,0:0:,1215.68400
ru.dksu.semantic.TestStructureRWSL,4194304,4,0:0:,1154.15333
ru.dksu.semantic.TestStructure,4194304,8,0:0:,1951.35947
ru.dksu.semantic.TestStructureRW,4194304,8,0:0:,2131.82162
ru.dksu.semantic.TestStructureRWSL,4194304,8,0:0:,1943.79088
ru.dksu.semantic.TestStructure,4194304,16,0:0:,2372.88948
ru.dksu.semantic.TestStructureRW,4194304,16,0:0:,2688.87621
ru.dksu.semantic.TestStructureRWSL,4194304,16,0:0:,2337.74261
ru.dksu.semantic.TestStructure,4194304,32,0:0:,4255.90897
ru.dksu.semantic.TestStructureRW,4194304,32,0:0:,4616.91953
ru.dksu.semantic.TestStructureRWSL,4194304,32,0:0:,4730.82930
ru.dksu.semantic.TestStructure,4194304,48,0:0:,5180.70179
ru.dksu.semantic.TestStructureRW,4194304,48,0:0:,5608.08435
ru.dksu.semantic.TestStructureRWSL,4194304,48,0:0:,4965.80478
ru.dksu.semantic.TestStructure,4194304,63,0:0:,5670.44366
ru.dksu.semantic.TestStructureRW,4194304,63,0:0:,4721.98175
ru.dksu.semantic.TestStructureRWSL,4194304,63,0:0:,6025.67969
ru.dksu.semantic.TestStructure,4194304,1,100:0:,108.24793
ru.dksu.semantic.TestStructureRW,4194304,1,100:0:,114.49862
ru.dksu.semantic.TestStructureRWSL,4194304,1,100:0:,119.93023
ru.dksu.semantic.TestStructure,4194304,2,100:0:,218.93241
ru.dksu.semantic.TestStructureRW,4194304,2,100:0:,111.71944
ru.dksu.semantic.TestStructureRWSL,4194304,2,100:0:,112.67455
ru.dksu.semantic.TestStructure,4194304,4,100:0:,344.98545
ru.dksu.semantic.TestStructureRW,4194304,4,100:0:,109.35663
ru.dksu.semantic.TestStructureRWSL,4194304,4,100:0:,88.90594
ru.dksu.semantic.TestStructure,4194304,8,100:0:,678.49175
ru.dksu.semantic.TestStructureRW,4194304,8,100:0:,105.96217
ru.dksu.semantic.TestStructureRWSL,4194304,8,100:0:,90.75795
