hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,1,0,0,0,13384.45316
hashtables.lockbased.IntegerQueueHashMap,1000000,1,0,0,0,12847.19206
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,1,0,0,0,12793.61530
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,1,0,20,0,9538.76741
hashtables.lockbased.IntegerQueueHashMap,1000000,1,0,20,0,9850.85043
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,1,0,20,0,9459.81936
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,1,0,50,0,7780.62686
hashtables.lockbased.IntegerQueueHashMap,1000000,1,0,50,0,7941.71015
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,1,0,50,0,7742.10741
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,1,0,100,0,7209.11267
hashtables.lockbased.IntegerQueueHashMap,1000000,1,0,100,0,7232.65453
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,1,0,100,0,7223.39820
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,2,0,0,0,26993.37613
hashtables.lockbased.IntegerQueueHashMap,1000000,2,0,0,0,26505.52795
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,2,0,0,0,25496.65087
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,2,0,20,0,16756.18624
hashtables.lockbased.IntegerQueueHashMap,1000000,2,0,20,0,16932.55704
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,2,0,20,0,17642.13544
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,2,0,50,0,13098.95091
hashtables.lockbased.IntegerQueueHashMap,1000000,2,0,50,0,12829.13847
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,2,0,50,0,12121.76100
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,2,0,100,0,9476.26998
hashtables.lockbased.IntegerQueueHashMap,1000000,2,0,100,0,9343.88489
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,2,0,100,0,9496.85649
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,4,0,0,0,51848.59979
hashtables.lockbased.IntegerQueueHashMap,1000000,4,0,0,0,50470.31707
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,4,0,0,0,54557.59645
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,4,0,20,0,21077.24293
hashtables.lockbased.IntegerQueueHashMap,1000000,4,0,20,0,21346.17573
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,4,0,20,0,22143.76536
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,4,0,50,0,9786.72652
hashtables.lockbased.IntegerQueueHashMap,1000000,4,0,50,0,9890.80169
hashtables.lockbased.IntegerNonCollaborativeQueueHashMap,1000000,4,0,50,0,9069.54302
hashtables.lockbased.IntegerCollaborativeQueueHashMap,1000000,4,0,100,0,5563.12603
