ru.dksu.semantic.TestStructure,4194304,1,33:33:,908892.82144
ru.dksu.semantic.TestStructureRW,4194304,1,33:33:,951408.07838
ru.dksu.semantic.TestStructureRWSL,4194304,1,33:33:,909843.93712
ru.dksu.semantic.TestStructure,4194304,2,33:33:,789756.24875
ru.dksu.semantic.TestStructureRW,4194304,2,33:33:,555182.04739
ru.dksu.semantic.TestStructureRWSL,4194304,2,33:33:,711447.26343
ru.dksu.semantic.TestStructure,4194304,4,33:33:,334666.82968
ru.dksu.semantic.TestStructureRW,4194304,4,33:33:,210543.20491
ru.dksu.semantic.TestStructureRWSL,4194304,4,33:33:,309698.27775
ru.dksu.semantic.TestStructure,4194304,8,33:33:,256727.93625
ru.dksu.semantic.TestStructureRW,4194304,8,33:33:,185723.68865
ru.dksu.semantic.TestStructureRWSL,4194304,8,33:33:,254053.13076
ru.dksu.semantic.TestStructure,4194304,16,33:33:,147133.08784
ru.dksu.semantic.TestStructureRW,4194304,16,33:33:,167982.26426
ru.dksu.semantic.TestStructureRWSL,4194304,16,33:33:,182810.73171
ru.dksu.semantic.TestStructure,4194304,32,33:33:,98795.52088
ru.dksu.semantic.TestStructureRW,4194304,32,33:33:,139032.57410
ru.dksu.semantic.TestStructureRWSL,4194304,32,33:33:,198726.21267
ru.dksu.semantic.TestStructure,4194304,48,33:33:,113570.87088
ru.dksu.semantic.TestStructureRW,4194304,48,33:33:,165948.51973
ru.dksu.semantic.TestStructureRWSL,4194304,48,33:33:,69745.64802
ru.dksu.semantic.TestStructure,4194304,63,33:33:,81776.41242
ru.dksu.semantic.TestStructureRW,4194304,63,33:33:,157339.20787
ru.dksu.semantic.TestStructureRWSL,4194304,63,33:33:,81042.75478
ru.dksu.semantic.ARATestStructure,4194304,1,33:33:,413490.78184
ru.dksu.semantic.ARATestStructureRW,4194304,1,33:33:,428983.88322
ru.dksu.semantic.ARATestStructure,4194304,2,33:33:,430938.17828
ru.dksu.semantic.ARATestStructureRW,4194304,2,33:33:,162474.45473
ru.dksu.semantic.ARATestStructure,4194304,4,33:33:,190384.92603
ru.dksu.semantic.ARATestStructureRW,4194304,4,33:33:,86170.55011
ru.dksu.semantic.ARATestStructure,4194304,8,33:33:,162007.83668
ru.dksu.semantic.ARATestStructureRW,4194304,8,33:33:,73741.10852
ru.dksu.semantic.ARATestStructure,4194304,16,33:33:,137327.34060
ru.dksu.semantic.ARATestStructureRW,4194304,16,33:33:,72624.60452
ru.dksu.semantic.ARATestStructure,4194304,32,33:33:,123306.36960
ru.dksu.semantic.ARATestStructureRW,4194304,32,33:33:,71865.79887
ru.dksu.semantic.ARATestStructure,4194304,48,33:33:,39337.37298
ru.dksu.semantic.ARATestStructureRW,4194304,48,33:33:,73121.58089
ru.dksu.semantic.ARATestStructure,4194304,63,33:33:,86041.71492
ru.dksu.semantic.ARATestStructureRW,4194304,63,33:33:,70812.01445
